"","Datum","Warengruppe","Umsatz","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Temperaturklassen"
"1",2013-07-01,3,201.198425690037,6,17.8375,15,20,"normal"
"2",2013-07-01,1,148.828353112183,6,17.8375,15,20,"normal"
"3",2013-07-01,5,317.475874933038,6,17.8375,15,20,"normal"
"4",2013-07-01,2,535.856284785361,6,17.8375,15,20,"normal"
"5",2013-07-01,4,65.890168799361,6,17.8375,15,20,"normal"
"6",2013-07-02,2,546.780787392297,3,17.3125,10,NA,"normal"
"7",2013-07-02,3,265.261253994438,3,17.3125,10,NA,"normal"
"8",2013-07-02,1,159.79375714468,3,17.3125,10,NA,"normal"
"9",2013-07-02,5,383.628681612577,3,17.3125,10,NA,"normal"
"10",2013-07-02,4,74.5439171827412,3,17.3125,10,NA,"normal"
"11",2013-07-03,1,111.885593514353,7,21.075,6,61,"warm"
"12",2013-07-03,3,210.260241465493,7,21.075,6,61,"warm"
"13",2013-07-03,2,427.343258749983,7,21.075,6,61,"warm"
"14",2013-07-03,5,305.523072325318,7,21.075,6,61,"warm"
"15",2013-07-03,4,69.2627280649987,7,21.075,6,61,"warm"
"16",2013-07-04,1,168.864940979931,7,18.85,7,20,"normal"
"17",2013-07-04,2,454.859641347987,7,18.85,7,20,"normal"
"18",2013-07-04,5,308.408167942149,7,18.85,7,20,"normal"
"19",2013-07-04,4,61.490175369225,7,18.85,7,20,"normal"
"20",2013-07-04,3,190.686641378586,7,18.85,7,20,"normal"
"21",2013-07-05,3,181.644870215041,5,19.975,12,NA,"normal"
"22",2013-07-05,1,171.280754117955,5,19.975,12,NA,"normal"
"23",2013-07-05,2,492.818804066088,5,19.975,12,NA,"normal"
"24",2013-07-05,4,86.7598614451924,5,19.975,12,NA,"normal"
"25",2013-07-05,5,355.518770367742,5,19.975,12,NA,"normal"
"26",2013-07-06,3,291.557959835153,0,18.9625,8,NA,"normal"
"27",2013-07-06,4,80.6465768881107,0,18.9625,8,NA,"normal"
"28",2013-07-06,1,174.552359998476,0,18.9625,8,NA,"normal"
"29",2013-07-06,2,631.906068038484,0,18.9625,8,NA,"normal"
"30",2013-07-06,5,361.866932797941,0,18.9625,8,NA,"normal"
"31",2013-07-07,1,92.6377553788373,0,21.375,9,NA,"warm"
"32",2013-07-07,5,370.20960108863,0,21.375,9,NA,"warm"
"33",2013-07-07,2,695.25572963054,0,21.375,9,NA,"warm"
"34",2013-07-07,4,94.6039024817053,0,21.375,9,NA,"warm"
"35",2013-07-07,3,279.665938833443,0,21.375,9,NA,"warm"
"36",2013-07-08,2,538.529249911711,0,22.725,10,5,"warm"
"37",2013-07-08,3,195.158794309303,0,22.725,10,5,"warm"
"38",2013-07-08,1,135.500244042392,0,22.725,10,5,"warm"
"39",2013-07-08,4,49.5000238633042,0,22.725,10,5,"warm"
"40",2013-07-08,5,285.233382496522,0,22.725,10,5,"warm"
"41",2013-07-09,5,342.089345776475,0,23.275,8,NA,"warm"
"42",2013-07-09,1,136.048382778344,0,23.275,8,NA,"warm"
"43",2013-07-09,2,585.957264698849,0,23.275,8,NA,"warm"
"44",2013-07-09,4,75.2089975834558,0,23.275,8,NA,"warm"
"45",2013-07-09,3,245.808338509722,0,23.275,8,NA,"warm"
"46",2013-07-10,1,135.132314289581,2,19.6875,13,5,"normal"
"47",2013-07-10,2,567.365764527953,2,19.6875,13,5,"normal"
"48",2013-07-10,5,343.353066508123,2,19.6875,13,5,"normal"
"49",2013-07-10,4,73.8056511129258,2,19.6875,13,5,"normal"
"50",2013-07-10,3,265.109142544045,2,19.6875,13,5,"normal"
"51",2013-07-11,4,68.6330279122302,0,21.375,12,5,"warm"
"52",2013-07-11,5,315.911756962233,0,21.375,12,5,"warm"
"53",2013-07-11,3,234.65807920749,0,21.375,12,5,"warm"
"54",2013-07-11,1,138.549392636714,0,21.375,12,5,"warm"
"55",2013-07-11,2,569.109374584873,0,21.375,12,5,"warm"
"56",2013-07-12,5,362.802489634211,0,20.2875,7,NA,"warm"
"57",2013-07-12,3,290.199097765019,0,20.2875,7,NA,"warm"
"58",2013-07-12,1,101.447511461298,0,20.2875,7,NA,"warm"
"59",2013-07-12,2,600.267914678783,0,20.2875,7,NA,"warm"
"60",2013-07-13,1,141.233309883732,1,20.125,12,NA,"warm"
"61",2013-07-13,2,747.140776382576,1,20.125,12,NA,"warm"
"62",2013-07-13,3,340.046632736531,1,20.125,12,NA,"warm"
"63",2013-07-13,5,359.166188843392,1,20.125,12,NA,"warm"
