"","Datum","Wochentag","Sonntag","Samstag","Monat","Weihnachtsmarkt","Feiertage","Ferien","Monat_1","Ware_1","Ware_2","Ware_3","Ware_4","Ware_5","Ware_6","Gesamtumsatz","weihnachtsfeiertag_25","weihnachtsfeiertag_26","weihnachtsfeiertag_27","neujahrstage"
"1",2013-07-01,2,0,0,7,0,0,1,7,148.8283531,535.8562848,201.1984257,65.8901688,317.4758749,41.81303842,1311.062146,NA,NA,NA,NA
"2",2013-07-02,3,0,0,7,0,0,1,7,159.7937571,546.7807874,265.261254,74.54391718,383.6286816,16.41087593,1446.419273,NA,NA,NA,NA
"3",2013-07-03,4,0,0,7,0,0,1,7,111.8855935,427.3432587,210.2602415,69.26272806,305.5230723,18.57445779,1142.849352,NA,NA,NA,NA
"4",2013-07-04,5,0,0,7,0,0,1,7,168.864941,454.8596413,190.6866414,61.49017537,308.4081679,24.64008392,1208.949651,NA,NA,NA,NA
"5",2013-07-05,6,0,0,7,0,0,1,7,171.2807541,492.8188041,181.6448702,86.75986145,355.5187704,43.51536608,1331.538426,NA,NA,NA,NA
"6",2013-07-06,7,0,1,7,0,0,1,7,174.55236,631.906068,291.5579598,80.64657689,361.8669328,38.89426768,1579.424165,NA,NA,NA,NA
"7",2013-07-07,1,1,0,7,0,0,1,7,92.63775538,695.2557296,279.6659388,94.60390248,370.2096011,16.80229518,1549.175223,NA,NA,NA,NA
"8",2013-07-08,2,0,0,7,0,0,1,7,135.500244,538.5292499,195.1587943,49.50002386,285.2333825,48.6054,1252.527095,NA,NA,NA,NA
"9",2013-07-09,3,0,0,7,0,0,1,7,136.0483828,585.9572647,245.8083385,75.20899758,342.0893458,70.13093612,1455.243266,NA,NA,NA,NA
"10",2013-07-10,4,0,0,7,0,0,1,7,135.1323143,567.3657645,265.1091425,73.80565111,343.3530665,34.25804091,1419.02398,NA,NA,NA,NA
"11",2013-07-11,5,0,0,7,0,0,1,7,138.5493926,569.1093746,234.6580792,68.63302791,315.911757,17.87441988,1344.736051,NA,NA,NA,NA
"12",2013-07-12,6,0,0,7,0,0,1,7,101.4475115,600.2679147,290.1990978,74.27447379,362.8024896,41.7139881,1470.705475,NA,NA,NA,NA
"13",2013-07-13,7,0,1,7,0,0,1,7,141.2333099,747.1407764,340.0466327,115.2716172,359.1661888,50.51858887,1753.377114,NA,NA,NA,NA
"14",2013-07-14,1,1,0,7,0,0,1,7,112.5243657,777.0488417,320.6268162,99.49353059,461.0821245,50.22661967,1821.002298,NA,NA,NA,NA
"15",2013-07-15,2,0,0,7,0,0,1,7,161.2646773,596.9951,243.5264014,91.77969761,380.6836965,53.51925001,1527.768823,NA,NA,NA,NA
