"","Datum","feiertage"
"1",2013-10-03,1
"2",2014-04-21,1
"3",2014-05-29,1
"4",2014-06-09,1
"5",2014-10-03,1
"6",2015-04-06,1
"7",2015-05-14,1
"8",2015-05-25,1
"9",2015-10-03,1
"10",2016-03-28,1
"11",2016-05-01,1
"12",2016-05-05,1
"13",2016-05-16,1
"14",2016-10-03,1
"15",2018-04-02,1
"16",2018-05-10,1
"17",2018-10-03,1
"18",2019-04-22,1
"19",2013-12-25,1
"20",2014-12-25,1
"21",2015-12-25,1
"22",2016-12-25,1
"23",2017-12-25,1
"24",2018-12-25,1
"25",2013-12-26,1
"26",2014-12-26,1
"27",2015-12-26,1
"28",2016-12-26,1
"29",2017-12-26,1
"30",2018-12-26,1
"31",2013-12-27,1
"32",2014-12-27,1
"33",2015-12-27,1
"34",2016-12-27,1
"35",2017-12-27,1
"36",2018-12-27,1
"37",2014-01-01,1
"38",2015-01-01,1
"39",2016-01-01,1
"40",2017-01-01,1
"41",2018-01-01,1
"42",2019-01-01,1
