"","Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Gruppe_1","Gruppe_2","Gruppe_3","Gruppe_4","Gruppe_5","Gruppe_6"
"1","01.01.2012",8,9.825,14,58,NA,NA,NA,NA,NA,NA,NA
"2","01.01.2014",5,4.5125,8,63,NA,NA,NA,NA,NA,NA,NA
"3","01.01.2015",8,4.125,13,10,NA,NA,NA,NA,NA,NA,NA
"4","01.01.2016",7,4.5,6,28,NA,NA,NA,NA,NA,NA,NA
"5","01.01.2017",8,5.5,12,61,NA,NA,NA,NA,NA,NA,NA
"6","01.01.2018",6,6.6125,17,61,NA,NA,NA,NA,NA,NA,NA
"7","01.01.2019",6,6.2875,26,21,NA,NA,NA,NA,NA,NA,NA
"8","01.02.2012",7,-1.825,16,71,NA,NA,NA,NA,NA,NA,NA
"9","01.02.2014",7,3.225,10,63,NA,101.9321469,363.4777437,114.4299519,126.5982016,290.1213923,81.52576207
"10","01.02.2015",7,-0.25,9,75,NA,92.18983728,633.3095423,187.8041592,84.33218882,388.5853532,NA
"11","01.02.2016",7,7.875,21,61,NA,100.874632,320.5004737,79.67014652,64.46227757,241.7534232,NA
"12","01.02.2017",7,1.125,8,20,NA,66.56732559,239.5048403,58.22245249,136.703247,241.547252,NA
"13","01.02.2018",7,3.5125,11,61,NA,96.76647961,226.6615411,92.84781489,92.14466539,229.8032949,NA
"14","01.02.2019",7,-0.075,12,10,NA,107.7435659,259.8556356,117.3789416,66.10154105,329.2066217,NA
"15","01.03.2012",6,7.625,12,43,NA,NA,NA,NA,NA,NA,NA
"16","01.03.2014",2,5.075,9,10,NA,140.9685445,463.9317067,198.6902245,60.85389782,356.0784192,37.82680311
"17","01.03.2015",7,6.75,15,61,NA,45.73432453,435.0768355,174.1780215,75.55624972,288.6197688,NA
"18","01.03.2016",5,2.25,8,NA,NA,94.40735946,227.7347716,71.01191274,68.82496638,180.9283116,NA
"19","01.03.2017",6,5,14,63,NA,125.2174503,249.6807715,81.19675375,48.26887253,184.4192594,NA
"20","01.03.2018",6,-3.95,18,71,NA,121.6720686,202.3536643,97.75272938,61.40839013,249.9420307,NA
"21","01.03.2019",7,5.6375,8,NA,NA,118.7847971,286.4892493,132.312937,72.36830908,245.3718412,NA
"22","01.04.2012",7,6.525,19,25,NA,NA,NA,NA,NA,NA,NA
"23","01.04.2014",8,5.7625,13,10,NA,143.934572,344.3470417,136.7579397,81.81808145,211.2135328,117.5200228
"24","01.04.2015",4,5,24,22,NA,134.4252143,373.7241775,151.1096084,143.6182921,319.1862054,NA
"25","01.04.2016",0,9.125,7,NA,NA,126.5782807,369.569826,111.8150064,96.08579803,288.461518,NA
"26","01.04.2017",2,15.75,7,0,NA,224.20743,400.9224783,211.7558336,96.53463848,264.5872142,NA
"27","01.04.2018",6,2.525,9,71,NA,68.29646475,565.6194668,197.3381875,85.09760052,263.5827635,NA
"28","01.04.2019",0,8.05,13,5,NA,245.6192652,284.3163792,126.8808104,69.41354802,232.7670519,NA
"29","01.05.2012",5,13.4125,19,NA,NA,NA,NA,NA,NA,NA,NA
"30","01.05.2013",0,9.9,11,NA,NA,NA,NA,NA,NA,NA,NA
"31","01.05.2014",4,10.4875,14,NA,NA,NA,NA,NA,NA,NA,NA
"32","01.05.2015",6,10,6,21,NA,NA,NA,NA,NA,NA,NA
"33","01.05.2016",0,10.75,9,NA,NA,75.08556802,482.5783247,223.8027853,75.18650373,378.3697985,NA
"34","01.05.2017",1,11.75,19,5,NA,NA,NA,NA,NA,NA,NA
"35","01.05.2018",7,6.9875,13,63,NA,NA,NA,NA,NA,NA,NA
"36","01.05.2019",7,9.2625,15,20,NA,NA,NA,NA,NA,NA,NA
"37","01.06.2012",4,12.8875,19,25,NA,NA,NA,NA,NA,NA,NA
"38","01.06.2013",3,20.3875,10,21,NA,NA,NA,NA,NA,NA,NA
"39","01.06.2014",7,13.825,6,21,NA,93.40270921,676.0635885,238.1476674,55.37843591,276.8903368,127.1898085
"40","01.06.2015",5,14.25,16,NA,NA,131.7998753,335.9122879,116.1686042,56.84132792,275.0026977,NA
"41","01.06.2016",4,21.75,16,0,NA,89.32001845,329.6755926,102.6474832,94.65177097,238.8748786,NA
"42","01.06.2017",0,17.375,12,5,NA,122.6126028,326.444731,131.1859286,81.26954268,257.5306813,NA
"43","01.06.2018",0,21.375,12,5,NA,171.3522113,391.0763588,196.0479365,66.27531838,299.6320657,NA
"44","01.06.2019",6,19.5625,15,0,NA,NA,NA,NA,NA,NA,NA
"45","01.07.2012",4,19.5125,14,NA,NA,NA,NA,NA,NA,NA,NA
"46","01.07.2013",6,17.8375,15,20,NA,148.8283531,535.8562848,201.1984257,65.8901688,317.4758749,41.81303842
"47","01.07.2014",6,15.6875,14,61,NA,79.46577664,394.0829754,166.4832195,74.31761753,316.1465468,NA
"48","01.07.2015",0,23.125,13,NA,NA,120.1866679,430.3974569,197.6233398,92.86119845,216.6833474,NA
"49","01.07.2016",8,19.25,7,63,NA,114.4323318,359.9552669,148.8453044,78.9703185,232.6327166,NA
"50","01.07.2017",7,17.625,10,21,NA,142.5370379,443.1788506,183.8642557,81.5352495,263.8342033,NA
"51","01.07.2018",0,21.0625,12,5,NA,106.3982959,573.4871463,263.8976814,100.5077371,313.6935704,NA
"52","01.07.2019",5,20.25,20,0,NA,NA,NA,NA,NA,NA,NA
"53","01.08.2012",6,21.0625,6,NA,NA,NA,NA,NA,NA,NA,NA
"54","01.08.2013",6,23.4,7,21,NA,157.854023,667.2137193,304.83031,81.48177972,322.2943072,91.45267014
"55","01.08.2014",1,26.725,8,NA,NA,153.9661938,607.9461699,319.5007749,91.75960128,338.0817489,NA
"56","01.08.2015",0,17.625,12,NA,NA,218.2553579,713.6217789,334.4237812,84.53514395,325.0323748,NA
"57","01.08.2016",3,18.5,14,61,NA,161.4435742,612.2438555,315.8671168,191.1001791,334.3756558,NA
"58","01.08.2017",6,21.375,7,21,NA,166.1354861,557.4708978,294.8727008,115.4249791,325.8642278,NA
"59","01.08.2018",0,23.7625,10,0,NA,155.6670749,598.6903988,331.5654926,90.66269355,282.3355303,NA
"60","01.08.2019",5,21.0625,9,61,NA,NA,NA,NA,NA,NA,NA
"61","01.09.2012",6,16.6,12,NA,NA,NA,NA,NA,NA,NA,NA
"62","01.09.2013",7,15.8625,16,61,NA,95.97043149,481.5848296,239.5450841,78.43214464,400.3752516,30.17182945
"63","01.09.2014",7,17.875,12,61,NA,192.5839275,482.3545874,226.5432733,56.68298571,295.5243964,NA
"64","01.09.2015",8,17.625,12,61,NA,119.8900513,341.5925859,156.5020807,99.59388295,296.0094423,NA
"65","01.09.2016",5,20.25,13,21,NA,134.0593805,414.9570007,184.329861,75.99637636,280.6569107,NA
"66","01.09.2017",4,17.3,7,61,NA,134.9019215,399.4445233,123.5955773,75.94402366,288.8437563,NA
"67","01.09.2018",2,18.1125,8,NA,NA,126.2050136,458.4179487,257.0535236,59.26817221,302.0147692,NA
"68","01.10.2012",7,13.8625,10,NA,NA,NA,NA,NA,NA,NA,NA
"69","01.10.2013",0,12.9125,13,5,NA,123.3975401,356.8160795,135.6145941,101.8926896,351.5909914,40.76311234
"70","01.10.2014",6,17.75,6,10,NA,159.4732531,416.0014239,150.6200216,75.61166677,290.758945,NA
"71","01.10.2015",1,14.75,9,0,NA,111.7366247,335.0457445,112.8908996,49.67383575,222.9460563,NA
"72","01.10.2016",3,15.875,6,NA,NA,173.9380694,422.4628803,166.9639998,43.21600579,241.9487348,NA
"73","01.10.2017",2,16.2875,6,NA,NA,60.98247726,482.4600286,192.2339268,90.8353847,290.9572005,NA
"74","01.10.2018",5,11.1625,12,21,NA,192.3553632,397.4498761,168.339799,99.60097759,320.5984579,NA
"75","01.11.2012",7,5.8125,10,NA,NA,NA,NA,NA,NA,NA,NA
"76","01.11.2013",8,10.625,9,63,NA,100.1821605,336.0181779,131.5954623,176.5221241,273.3702783,26.15830615
"77","01.11.2014",2,16.5,8,0,NA,142.5070592,501.127171,266.5270794,76.61776034,355.9576449,NA
"78","01.11.2015",4,10.75,6,10,NA,82.88601924,469.0261847,131.2233944,95.77866899,307.4016173,NA
"79","01.11.2016",6,10.125,12,61,NA,109.2729415,247.262324,101.4445847,47.06743154,239.6366446,NA
"80","01.11.2017",NA,12.975,12,NA,NA,159.9095587,333.7757639,150.7855463,75.13395749,225.0464558,NA
"81","01.11.2018",5,11.725,8,0,NA,146.4396753,330.2859984,122.904183,39.50236346,270.5261144,NA
"82","01.12.2013",5,8.6625,20,61,NA,68.07622318,584.644687,192.1086488,49.72618236,251.1713654,92.54321695
"83","01.12.2014",7,-2,13,10,NA,128.4541153,270.5944085,119.4279262,58.33659124,256.6081638,NA
"84","01.12.2015",6,6.75,10,21,NA,82.67070161,251.710213,81.42791828,74.60100773,212.3855135,NA
"85","01.12.2016",8,8.5,19,61,NA,107.5388584,289.1763036,85.94949855,134.8921503,143.8299972,NA
"86","01.12.2017",6,4.3625,8,68,NA,81.76347855,243.4541123,108.7908434,71.19083449,205.1468483,NA
"87","01.12.2018",7,7.1625,8,61,NA,149.5364171,313.3795214,159.8171441,110.7562288,275.9611246,NA
