"","Datum","Wochentag","Monat","Weihnachtsmarkt","Ferien","Ware_1","Ware_2","Ware_3","Ware_4","Ware_5","Ware_6","Gesamtumsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Feiertag","vor_feiertag","nach_feiertag","Temperaturklassen"
"622",2015-03-14,7,3,0,0,98.28118561,360.7154307,137.3906085,72.94491285,234.5459649,0,903.87810256,0,7,5.125,15,0,0,0,0,"kalt"
"1703",2018-02-27,3,2,0,0,66.99030159,219.8720371,80.05202827,99.4218471,177.9901117,0,644.32632576,0,6,-3.425,16,71,0,0,0,"kalt"
"883",2015-11-30,2,11,1,0,116.1545761,288.1236445,97.35310243,58.54752564,192.3419554,0,752.52080407,0,5,5.75,18,61,0,0,0,"kalt"
"1906",2018-09-18,3,9,0,0,164.215439,347.8293992,163.8523084,92.58368499,268.9257216,0,1037.40655319,0,0,0,0,0,0,0,0,"kalt"
"2029",2019-01-19,7,1,0,0,125.7001908,299.7339412,154.3552864,82.74311504,333.2328023,0,995.76533574,0,2,0.925,4,49,0,0,0,"kalt"
"99",2013-10-07,2,10,0,1,124.841544,372.4523018,146.8020106,93.05787712,318.4816606,73.73618618,1129.3715803,0,1,16.275,7,0,0,0,0,"normal"
"1139",2016-08-12,6,8,0,1,172.77218,628.5405575,316.4125193,80.99558818,360.020079,0,1558.74092398,0,7,18.25,12,61,0,0,0,"normal"
"1923",2018-10-05,6,10,0,1,107.9074585,430.5743402,161.2201394,85.51339942,267.8466121,0,1053.06194962,0,0,18.1125,8,5,0,0,0,"normal"
"1188",2016-09-30,6,9,0,0,126.3668002,292.0541547,129.2692601,62.57753423,193.213491,0,803.48124023,0,6,14,11,61,0,0,0,"normal"
"983",2016-03-09,4,3,0,0,134.504642,271.3287651,112.7021959,59.6068805,259.6776955,0,837.820179,0,0,6.75,9,5,0,0,0,"kalt"
"2059",2019-02-18,2,2,0,0,143.1408479,258.1863215,118.9616941,78.23420686,259.4542882,0,857.97735856,0,0,11.725,7,0,0,0,0,"normal"
"975",2016-03-01,3,3,0,0,94.40735946,227.7347716,71.01191274,68.82496638,180.9283116,0,642.90732178,0,5,2.25,8,0,0,0,0,"kalt"
"1457",2017-06-26,2,6,0,0,155.5432287,343.4166999,161.6486944,88.51172635,270.9788653,0,1020.09921465,0,3,17.375,16,21,0,0,0,"normal"
"1231",2016-11-12,7,11,0,0,138.8278281,334.9775224,113.4799868,204.6323502,279.6510177,0,1071.5687052,0,3,1.625,6,49,0,0,0,"kalt"
"221",2014-02-06,5,2,0,0,93.21457157,281.2713708,91.67276173,135.4394016,258.9174255,170.0323873,1030.5479185,0,7,7.875,11,20,0,0,0,"kalt"
"1932",2018-10-14,1,10,0,1,101.3423424,531.2368585,298.609993,65.12781113,324.5694682,0,1320.88647323,0,0,0,0,0,0,0,0,"kalt"
"528",2014-12-10,4,12,1,0,99.91871718,252.6990079,95.94460777,63.15531764,269.4164566,0,781.13410709,0,5,4.875,13,61,0,0,0,"kalt"
"91",2013-09-29,1,9,0,0,68.6316897,503.1551995,194.9861114,70.20082262,304.830464,35.07372872,1176.87801594,0,3,14.175,12,0,0,0,0,"normal"
"703",2015-06-03,4,6,0,0,92.27342564,350.8312373,118.9735138,78.86997667,257.7035804,0,898.65173381,0,6,15.25,18,21,0,0,0,"normal"
"2045",2019-02-04,2,2,0,0,112.833066,221.0767151,104.9460888,133.8547381,278.9754534,0,851.6860614,0,7,2.95,12,0,0,0,0,"kalt"
"1905",2018-09-17,2,9,0,0,169.6727569,386.5430239,164.0278674,42.9673198,324.0430357,0,1087.2540037,0,0,0,0,0,0,0,0,"kalt"
"1483",2017-07-22,7,7,0,0,118.5816559,703.3661733,311.7973015,99.15128868,311.2943567,0,1544.19077608,0,7,18.5,9,63,0,0,0,"normal"
"1371",2017-04-01,7,4,0,0,224.20743,400.9224783,211.7558336,96.53463848,264.5872142,0,1198.00759458,0,2,15.75,7,0,0,0,0,"normal"
"2126",2019-04-26,6,4,0,0,140.1421035,381.8835663,211.022624,0,245.0696783,0,978.1179721,0,7,14.975,16,95,0,0,0,"normal"
"1402",2017-05-02,3,5,0,0,155.0958888,315.6306727,121.9337166,62.1562035,224.460398,0,879.2768796,0,2,10.875,21,5,0,0,1,"normal"
"1514",2017-08-22,3,8,0,1,137.4821462,476.1788322,184.4442971,105.8804242,264.9290171,0,1168.9147168,0,4,17.6125,11,0,0,0,0,"normal"
"1162",2016-09-04,1,9,0,0,63.50136842,504.6326579,221.5802859,64.35300383,248.4461519,0,1102.51346795,0,6,19.25,8,61,0,0,0,"normal"
"1268",2016-12-19,2,12,1,0,97.24503883,228.0431204,86.55486235,66.98570196,142.1778175,0,621.00654104,0,8,5.75,4,0,0,0,0,"kalt"
"617",2015-03-09,2,3,0,0,145.5175952,280.1147082,80.13117495,119.4440107,261.3268291,0,886.53431815,0,4,8.375,6,0,0,0,0,"kalt"
"314",2014-05-10,7,5,0,0,123.7246746,478.6170661,166.3293415,152.7097029,335.9387471,48.82944426,1306.14897646,0,7,13.275,12,61,0,0,0,"normal"
"2053",2019-02-12,3,2,0,0,113.7296726,263.7651939,126.1289829,94.89281533,275.7264114,0,874.24307613,0,4,5.225,12,20,0,0,0,"kalt"
"1922",2018-10-04,5,10,0,1,150.529213,449.6830738,173.3748795,69.74555679,253.4392672,0,1096.77199029,0,7,14.2625,8,61,0,0,1,"normal"
"1471",2017-07-10,2,7,0,0,140.6417595,403.028343,177.4539279,82.35560405,308.7071268,0,1112.18676125,0,7,17.5,6,61,0,0,0,"normal"
"1693",2018-02-17,7,2,0,0,148.5147601,305.7914991,115.9320735,73.67919727,255.2882648,0,899.20579477,0,8,4.125,5,10,0,0,0,"kalt"
"53",2013-08-22,5,8,0,0,132.9164282,497.7313382,229.3234356,77.93530681,343.3489336,47.65015114,1328.90559355,0,4,21.6625,8,0,0,0,0,"warm"
"1016",2016-04-11,2,4,0,0,123.7026992,266.3666253,108.0614634,59.09839266,200.3842794,0,757.61345996,0,1,10,15,5,0,0,0,"kalt"
"1612",2017-11-28,3,11,1,0,82.64500515,182.668977,95.62883531,95.88557865,183.8127959,0,640.64119201,0,7,5.4875,12,61,0,0,0,"kalt"
"460",2014-10-03,6,10,0,0,62.59119156,707.739672,269.8271178,79.51778774,392.7822745,0,1512.4580436,0,3,20,6,10,1,0,0,"kalt"
"676",2015-05-07,5,5,0,0,119.4863228,309.3119014,91.96172948,95.79344902,211.8022474,0,828.3556501,0,6,12,16,21,0,0,0,"normal"
"492",2014-11-04,3,11,0,0,103.1237476,341.4333232,154.0853704,69.34761961,311.112917,0,979.10297781,0,7,11.625,8,61,0,0,0,"normal"
"303",2014-04-29,3,4,0,1,145.3823733,426.6340454,152.0255026,94.57376404,287.3612433,43.51630804,1149.49323668,0,0,18.0875,8,0,0,0,0,"normal"
"879",2015-11-26,5,11,1,0,88.58643437,275.0949107,85.8963225,83.3440894,255.6716014,0,788.59335837,0,0,5.5,7,0,0,0,0,"kalt"
"877",2015-11-24,3,11,1,0,72.24889465,253.4378618,105.0859371,74.96929785,200.0265609,0,705.7685523,0,7,3.125,14,61,0,0,0,"kalt"
"782",2015-08-21,6,8,0,1,111.5391054,544.0220089,279.3106437,86.78427513,343.6544613,0,1365.31049443,0,1,22.875,7,0,0,0,0,"warm"
"323",2014-05-19,2,5,0,0,108.1840395,385.8304275,132.9918067,104.4535623,229.43362,101.8602299,1062.7536859,0,6,13.7625,8,61,0,0,0,"normal"
"294",2014-04-20,1,4,0,1,57.75091892,670.0204969,274.1822995,147.8819054,378.7649588,71.91165227,1600.51223179,0,0,13.875,15,5,1,1,0,"normal"
"493",2014-11-05,4,11,0,0,113.0789675,325.2106177,159.0906257,59.28333256,293.3864289,0,950.04997236,0,7,9.5,11,61,0,0,0,"kalt"
"986",2016-03-12,7,3,0,0,156.9837378,369.2107049,123.8795947,55.70893835,257.0660098,0,962.84898555,0,8,2.75,7,0,0,0,0,"kalt"
