Datum,Weihnachtsmarkt,Ferien,Ware_1,Ware_2,Ware_3,Ware_4,Ware_5,Ware_6,Gesamtumsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,vor_feiertag,nach_feiertag,Wochentag_2,Wochentag_3,Wochentag_4,Wochentag_5,Wochentag_6,Wochentag_7,Wochentag_1,Monat_7,Monat_8,Monat_9,Monat_10,Monat_11,Monat_12,Monat_1,Monat_2,Monat_3,Monat_4,Monat_5,Monat_6,Temperaturklassen_normal,Temperaturklassen_warm,Temperaturklassen_kalt,Temperaturklassen_NA
2013-07-01,0,1,148.8283531,535.8562848,201.1984257,65.8901688,317.4758749,41.81303842,1311.06214572,NA,6,17.8375,15,20,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-02,0,1,159.7937571,546.7807874,265.261254,74.54391718,383.6286816,16.41087593,1446.41927321,NA,3,17.3125,10,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-03,0,1,111.8855935,427.3432587,210.2602415,69.26272806,305.5230723,18.57445779,1142.84935185,NA,7,21.075,6,61,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-04,0,1,168.864941,454.8596413,190.6866414,61.49017537,308.4081679,24.64008392,1208.94965089,NA,7,18.85,7,20,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-05,0,1,171.2807541,492.8188041,181.6448702,86.75986145,355.5187704,43.51536608,1331.53842633,NA,5,19.975,12,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-06,0,1,174.55236,631.906068,291.5579598,80.64657689,361.8669328,38.89426768,1579.42416517,NA,0,18.9625,8,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-07,0,1,92.63775538,695.2557296,279.6659388,94.60390248,370.2096011,16.80229518,1549.17522254,NA,0,21.375,9,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-08,0,1,135.500244,538.5292499,195.1587943,49.50002386,285.2333825,48.6054,1252.52709456,NA,0,22.725,10,5,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-09,0,1,136.0483828,585.9572647,245.8083385,75.20899758,342.0893458,70.13093612,1455.2432655,NA,0,23.275,8,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-10,0,1,135.1323143,567.3657645,265.1091425,73.80565111,343.3530665,34.25804091,1419.02397982,NA,2,19.6875,13,5,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
