"","as.Date(""2013-12-25"") %m+% years(c(0:7))","as.Date(""2013-12-26"") %m+% years(c(0:7))","as.Date(""2013-12-27"") %m+% years(c(0:7))","weihnachtsfeiertagetage_all","ID"
"1",2013-12-25,NA,NA,1,1
"2",2014-12-25,NA,NA,1,2
"3",2015-12-25,NA,NA,1,3
"4",2016-12-25,NA,NA,1,4
"5",2017-12-25,NA,NA,1,5
"6",2018-12-25,NA,NA,1,6
"7",2019-12-25,NA,NA,1,7
"8",2020-12-25,NA,NA,1,8
"9",NA,2013-12-26,NA,1,9
"10",NA,2014-12-26,NA,1,10
"11",NA,2015-12-26,NA,1,11
"12",NA,2016-12-26,NA,1,12
"13",NA,2017-12-26,NA,1,13
"14",NA,2018-12-26,NA,1,14
"15",NA,2019-12-26,NA,1,15
"16",NA,2020-12-26,NA,1,16
"17",NA,NA,2013-12-27,1,17
"18",NA,NA,2014-12-27,1,18
"19",NA,NA,2015-12-27,1,19
"20",NA,NA,2016-12-27,1,20
"21",NA,NA,2017-12-27,1,21
"22",NA,NA,2018-12-27,1,22
"23",NA,NA,2019-12-27,1,23
"24",NA,NA,2020-12-27,1,24
